Asset ID,Type,Name,Path,Created At,URL,Format,Size,clean_url,category,subcategory,series,project_id,index,gallery_images
6a1188b25c7cd75eb85d52df,File,air1-01.jpg - air1-01.jpg - 01,/ZHONGyuan/AQI/air1-01.jpg,2026-05-23T11:00:02.641Z,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/AQI/air1-01.jpg?updatedAt=1779534003256,jpg,693671,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/AQI/air1-01.jpg,air1-01.jpg,air1-01.jpg,,/ZHONGyuan/AQI/air1-01.jpg,1,['https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/AQI/air1-01.jpg']
6a1188b25c7cd75eb85d5221,File,air1-01_edited.jpg - air1-01_edited.jpg - 01,/ZHONGyuan/AQI/air1-01_edited.jpg,2026-05-23T11:00:02.551Z,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/AQI/air1-01_edited.jpg?updatedAt=1779534002966,jpg,169471,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/AQI/air1-01_edited.jpg,air1-01_edited.jpg,air1-01_edited.jpg,,/ZHONGyuan/AQI/air1-01_edited.jpg,1,['https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/AQI/air1-01_edited.jpg']
6a1188b25c7cd75eb85d5275,File,air2-01.jpg - air2-01.jpg - 01,/ZHONGyuan/AQI/air2-01.jpg,2026-05-23T11:00:02.603Z,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/AQI/air2-01.jpg?updatedAt=1779534003210,jpg,1274046,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/AQI/air2-01.jpg,air2-01.jpg,air2-01.jpg,,/ZHONGyuan/AQI/air2-01.jpg,1,['https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/AQI/air2-01.jpg']
6a1188b25c7cd75eb85d52d6,File,air3-01.jpg - air3-01.jpg - 01,/ZHONGyuan/AQI/air3-01.jpg,2026-05-23T11:00:02.633Z,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/AQI/air3-01.jpg?updatedAt=1779534003241,jpg,699759,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/AQI/air3-01.jpg,air3-01.jpg,air3-01.jpg,,/ZHONGyuan/AQI/air3-01.jpg,1,['https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/AQI/air3-01.jpg']
6a1188b25c7cd75eb85d52dd,File,air4-01.jpg - air4-01.jpg - 01,/ZHONGyuan/AQI/air4-01.jpg,2026-05-23T11:00:02.640Z,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/AQI/air4-01.jpg?updatedAt=1779534003266,jpg,702198,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/AQI/air4-01.jpg,air4-01.jpg,air4-01.jpg,,/ZHONGyuan/AQI/air4-01.jpg,1,['https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/AQI/air4-01.jpg']
6a1189025c7cd75eb860eff9,File,x.jpg - x.jpg - 01,/ZHONGyuan/Affiche/x.jpg,2026-05-23T11:01:21.980Z,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Affiche/x.jpg?updatedAt=1779534083020,jpg,5856552,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Affiche/x.jpg,x.jpg,x.jpg,,/ZHONGyuan/Affiche/x.jpg,1,['https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Affiche/x.jpg']
6a1189025c7cd75eb860f090,File,涔濅節娑堝瘨鍥?01.jpg - 涔濅節娑堝瘨鍥?01.jpg - 01,/ZHONGyuan/Affiche/涔濅節娑堝瘨鍥?01.jpg,2026-05-23T11:01:22.184Z,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Affiche/%E4%B9%9D%E4%B9%9D%E6%B6%88%E5%AF%92%E5%9B%BE-01.jpg?updatedAt=1779534082719,jpg,2135481,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Affiche/涔濅節娑堝瘨鍥?01.jpg,涔濅節娑堝瘨鍥?01.jpg,涔濅節娑堝瘨鍥?01.jpg,,/ZHONGyuan/Affiche/涔濅節娑堝瘨鍥?01.jpg,1,['https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Affiche/涔濅節娑堝瘨鍥?01.jpg']
6a1189025c7cd75eb860f153,File,瀹氱.jpg - 瀹氱.jpg - 01,/ZHONGyuan/Affiche/瀹氱.jpg,2026-05-23T11:01:22.367Z,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Affiche/%E5%AE%9A%E7%A8%BF.jpg?updatedAt=1779534082846,jpg,697562,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Affiche/瀹氱.jpg,瀹氱.jpg,瀹氱.jpg,,/ZHONGyuan/Affiche/瀹氱.jpg,1,['https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Affiche/瀹氱.jpg']
6a1189025c7cd75eb860f085,File,娴锋姤2x-01.jpg - 娴锋姤2x-01.jpg - 01,/ZHONGyuan/Affiche/娴锋姤2x-01.jpg,2026-05-23T11:01:22.173Z,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Affiche/%E6%B5%B7%E6%8A%A52x-01.jpg?updatedAt=1779534082698,jpg,1600122,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Affiche/娴锋姤2x-01.jpg,娴锋姤2x-01.jpg,娴锋姤2x-01.jpg,,/ZHONGyuan/Affiche/娴锋姤2x-01.jpg,1,['https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Affiche/娴锋姤2x-01.jpg']
6a1189025c7cd75eb860f056,File,绮楃35.jpg - 绮楃35.jpg - 01,/ZHONGyuan/Affiche/绮楃35.jpg,2026-05-23T11:01:22.108Z,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Affiche/%E7%B2%97%E7%A8%BF35.jpg?updatedAt=1779534082687,jpg,964598,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Affiche/绮楃35.jpg,绮楃35.jpg,绮楃35.jpg,,/ZHONGyuan/Affiche/绮楃35.jpg,1,['https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Affiche/绮楃35.jpg']
6a1189025c7cd75eb860f09a,File,绮楃37.jpg - 绮楃37.jpg - 01,/ZHONGyuan/Affiche/绮楃37.jpg,2026-05-23T11:01:22.187Z,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Affiche/%E7%B2%97%E7%A8%BF37.jpg?updatedAt=1779534082816,jpg,2064727,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Affiche/绮楃37.jpg,绮楃37.jpg,绮楃37.jpg,,/ZHONGyuan/Affiche/绮楃37.jpg,1,['https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Affiche/绮楃37.jpg']
